 (3648, 3648),
 (2447, 2411),
 (1621, 1517),
 (1093, 1066),
 (948, 900),
 (885, 847),
 (840, 805),
 (809, 763),
 (767, 729),
 (725, 685),
 (680, 640),
 (642, 601),
 (609, 555),
 (565, 545),
 (548, 544),
 (545, 544),
 (544, 544),
 (544, 544),
 (544, 544),
 (544, 544),
 (544, 544),
 (544, 544),
 (544, 538),
 (517, 178),
 (284, 113),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
 (26, 26),
